| WSP in the U.S. | Senior Vice President, Project & Program Management | New York, NY | within last 7 days | https://www.linkedin.com/jobs/view/4338915095/ | jobalerts-noreply@linkedin.com | "director pmo": S&P Global - Associate Director, IT Program Manager posted on 4/24/26 |
| FanDuel | Product Senior Director, Discovery & Engagement | New York, NY | within last 7 days | https://www.linkedin.com/jobs/view/4356771052/ | jobalerts-noreply@linkedin.com | "head of product": Clearwater Analytics - Director of Product posted on 4/25/26 |
| Affirm | Senior Director, Product Management | Seattle, WA | within last 7 days | https://www.linkedin.com/jobs/view/4366093132/ | jobalerts-noreply@linkedin.com | "head of product": Amazon - Senior Manager, Product Manager - Tech, FinTech posted on 4/24/26 |
| Affirm | Senior Director, Product Management | San Francisco, CA | within last 7 days | https://www.linkedin.com/jobs/view/4366096110/ | jobalerts-noreply@linkedin.com | "director product  payments remote…": Fiserv - Director, Global Product Strategy & Execution posted on 4/24/26 |
| Xero | VP Product Management - Banking | San Mateo, CA | within last 7 days | https://www.linkedin.com/jobs/view/4366577441/ | jobalerts-noreply@linkedin.com | "head of product": Mastercard - Director, Product Management posted on 4/24/26 |
| Clearwater Analytics | Director of Product | New York, NY | 2026-04-25 | https://www.linkedin.com/jobs/view/4373397437/ | jobalerts-noreply@linkedin.com | "head of product": Clearwater Analytics - Director of Product posted on 4/25/26 |
| S&P Global | Associate Director, IT Program Manager | Princeton, NJ | within last 7 days | https://www.linkedin.com/jobs/view/4373602414/ | jobalerts-noreply@linkedin.com | "director pmo": Adobe - Director, Program Management & Operations, Frame.io posted on 4/24/26 |
| City of Philadelphia | OIT Operations Project and Portfolio Manager | Philadelphia, PA | within last 7 days | https://www.linkedin.com/jobs/view/4375192670/ | jobalerts-noreply@linkedin.com | "director pmo": Spencer's - Director, IT Project Management posted on 4/24/26 |
| Amazon | Head of Product, Alexa Connections | Sunnyvale, CA | within last 7 days | https://www.linkedin.com/jobs/view/4375655522/ | jobalerts-noreply@linkedin.com | "head of product": Mastercard - Director, Product Management posted on 4/24/26 |
| JPMorganChase | Product Solutions Director - Healthcare Payments - Executive Director | Philadelphia, PA | within last 7 days | https://www.linkedin.com/jobs/view/4375808187/ | jobalerts-noreply@linkedin.com | "director product": Liberty Personnel Services, Inc. - Director Product Management posted on 4/24/26 |
| Mastercard | Director, Product Management | San Carlos, CA | within last 7 days | https://www.linkedin.com/jobs/view/4382733092/ | jobalerts-noreply@linkedin.com | "head of product": Mastercard - Director, Product Management posted on 4/24/26 |
| Salesloft | Senior Director, Product & Strategy | United States | within last 7 days | https://www.linkedin.com/jobs/view/4383010704/ | jobs-noreply@linkedin.com | Explore new jobs for "head of product" |
| Ironclad | Senior Director, Product Management - Platform | San Francisco, CA | within last 7 days | https://www.linkedin.com/jobs/view/4383858643/ | jobalerts-noreply@linkedin.com | "head of product": Mastercard - Director, Product Management posted on 4/24/26 |
